Unnamed: 0,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,Magnitude,Sentiment
26,Where You Are,Christopher Jackson,hollywood,2016,118,65,63,-9,17,72,210,71,19,70,0,0
27,Waving Through A Window,Ben Platt,hollywood,2017,146,71,55,-6,12,52,236,32,6,69,0,0
28,"My Love, My Life",Amanda Seyfried,hollywood,2018,75,13,40,-14,12,28,229,98,3,69,9.300000191,0.200000003
29,We Know The Way,Opetaia Foa'i,movie tunes,2016,98,57,70,-9,11,39,141,37,4,68,2.299999952,0.400000006
30,I See the Light,Mandy Moore,dance pop,2010,93,14,28,-14,7,17,224,83,3,68,0,0
31,I Wonder (Departure),Lily James,hollywood,2018,109,19,38,-11,11,15,269,90,3,67,0,0
32,A Whole New World,Lea Salonga,hollywood,2004,125,24,28,-16,10,16,161,83,4,67,17.20000076,0.300000012
33,Can You Feel The Love Tonight,Joseph Williams,disney,1994,167,13,30,-19,54,48,178,81,7,67,0,0
34,When Will My Life Begin?,Mandy Moore,dance pop,2010,108,42,67,-8,9,39,152,11,3,67,0,0
35,You Will Be Found,Ben Platt,hollywood,2017,87,62,29,-7,9,21,361,9,6,66,3.799999952,-0.300000012
36,"Sincerely, Me",Mike Faist,hollywood,2017,98,73,68,-6,10,60,223,17,12,66,0,0
37,If I Could Tell Her,Ben Platt,hollywood,2017,96,31,58,-8,15,46,249,65,4,65,0,0
38,For Forever,Ben Platt,hollywood,2017,96,46,37,-8,9,17,301,22,4,65,3.799999952,-0.300000012
39,Colors of the Wind,Judy Kuhn,hollywood,1995,63,17,25,-17,10,22,214,93,6,65,4.800000191,0
40,Seasons Of Love,Rosario Dawson,hollywood,2005,178,58,48,-4,8,47,183,61,3,64,0,0
41,Hakuna Matata,Nathan Lane,broadway,1994,165,31,42,-18,12,73,214,59,12,64,0,0
42,Bring It All Back,S Club 7,australian pop,1999,108,90,68,-5,37,87,214,33,5,64,4.400000095,-0.200000003
43,CAN'T STOP THE FEELING!,Justin Timberlake,dance pop,2016,113,82,66,-6,8,70,237,1,7,64,6.599999905,0.200000003
44,True Colors,Anna Kendrick,hollywood,2016,71,18,38,-13,12,37,181,81,4,64,0,0
45,Get Back Up Again,Anna Kendrick,hollywood,2016,99,71,70,-3,24,59,166,1,7,64,7,0.100000001
46,Move Your Feet / D.A.N.C.E. / It's A Sunshine Day,Anna Kendrick,hollywood,2016,119,82,71,-4,5,60,156,1,6,64,7.900000095,0.600000024
47,The Day Before You Came,Meryl Streep,hollywood,2018,99,11,36,-16,8,22,329,93,4,64,0,0
48,I Won't Say (I'm In Love),Susan Egan,broadway,2001,121,47,68,-9,14,45,140,21,4,64,5.5,0.100000001
49,Almost There,Anika Noni Rose,hollywood,2009,79,50,51,-6,28,51,144,81,5,64,3.799999952,0.300000012
50,For the First Time in Forever,Kristen Bell,disney,2013,91,41,35,-6,11,43,225,82,3,63,8.800000191,0
51,September,Justin Timberlake,dance pop,2016,127,85,77,-3,3,96,235,2,3,63,6.199999809,0.200000003
52,Anybody Have a Map?,Rachel Bay Jones,broadway,2017,108,60,63,-6,54,74,147,23,26,63,0,0
53,Beauty and the Beast,Angela Lansbury,hollywood,1991,172,16,24,-14,15,18,166,78,4,63,4.400000095,0
54,Go the Distance,Roger Bart,disney,1997,87,12,22,-17,8,17,194,88,3,63,0,0
55,I've Got a Dream,Mandy Moore,dance pop,2010,134,54,60,-7,17,89,191,64,9,63,6.699999809,0.200000003
56,A Dream Is a Wish Your Heart Makes,Lily James,hollywood,2015,138,7,28,-18,8,19,121,95,4,63,2.900000095,0.699999988
57,Gaston,Josh Gad,broadway,2017,106,59,50,-7,24,58,266,49,7,62,12,0.100000001
58,Only Us,Laura Dreyfuss,hollywood,2017,69,35,47,-7,10,24,227,71,3,62,0,0
59,Be Our Guest,Angela Lansbury,hollywood,1991,121,42,52,-13,8,58,225,81,17,62,17.5,0.300000012
60,Bibbidi,Helena Bonham Carter,hollywood,2015,109,40,74,-14,19,80,82,94,11,62,5.099999905,-0.100000001
61,You're The One That I Want,John Travolta,hollywood,2005,107,77,74,-6,16,83,168,26,9,62,5.5,0.600000024
62,Zero To Hero,Chorus - Hercules,disney,1997,165,83,47,-8,8,67,141,46,27,61,0,0
64,Words Fail,Ben Platt,hollywood,2017,96,24,37,-9,12,33,352,79,4,61,0,0
65,Good For You,Rachel Bay Jones,broadway,2017,108,71,63,-5,24,79,185,18,7,61,0,0
66,Disappear,Mike Faist,hollywood,2017,137,63,45,-7,23,30,276,38,12,61,0,0
67,A Girl Worth Fighting For,Lea Salonga,hollywood,1998,176,35,37,-17,24,79,146,58,8,61,8.899999619,0.5
68,Just Around the Riverbend,Judy Kuhn,hollywood,1995,65,18,41,-17,20,22,148,92,5,61,0,0
69,Something There,Robby Benson,disney,1991,126,33,59,-11,13,57,139,84,4,61,0,0
70,In Summer,Josh Gad,broadway,2013,77,34,50,-10,59,68,111,54,18,60,0,0
71,I'm Coming Out / Mo' Money Mo' Problems,Zooey Deschanel,hollywood,2016,113,91,88,-5,47,65,62,0,28,60,0.899999976,0.300000012
72,The Sound Of Silence,Anna Kendrick,hollywood,2016,210,22,40,-10,8,57,48,87,4,60,0.200000003,0.200000003
74,Reflection,Lea Salonga,hollywood,2001,92,29,32,-14,36,8,147,80,3,60,1.399999976,0
75,When We're Human,Leon-Wooley,movie tunes,2009,107,78,69,-4,38,50,142,32,13,60,4.900000095,0.300000012
76,What's This?,Danny Elfman,hollywood,2006,81,48,53,-11,51,47,186,84,6,59,6.5,-0.100000001
77,Hello!,Andrew Rannells,broadway,2011,130,51,66,-10,5,65,172,74,25,59,22.89999962,0.200000003
78,Take Me or Leave Me,Idina Menzel,broadway,2005,175,76,46,-3,3,87,231,32,26,59,4.300000191,0.100000001
79,So Big / So Small,Rachel Bay Jones,broadway,2017,88,20,45,-10,11,28,252,81,4,58,0,0
81,The Gospel Truth I / Main Titles,Cheryl Freeman,disney,1997,158,58,47,-10,21,52,146,34,15,58,0,0
82,Supercalifragilisticexpialidocious,Julie Andrews,broadway,2009,160,79,51,-8,20,90,121,60,35,58,0,0
83,Belle,Richard White,movie tunes,1991,129,38,55,-14,14,42,309,83,11,57,1.799999952,-0.100000001
84,Breaking Free,Troy,hollywood,2006,108,63,58,-6,14,26,207,7,4,57,0,0
85,Finale,Ben Platt,hollywood,2017,113,9,42,-10,9,41,96,84,4,57,0,0
86,To Break In a Glove,Michael Park,broadway,2017,108,42,65,-9,11,43,231,20,45,57,0,0
87,For Good,Kristin Chenoweth,broadway,2013,85,14,28,-14,11,24,307,95,4,57,3.5,0
88,Honor To Us All,Lea Salonga,hollywood,2013,168,40,46,-12,39,73,181,45,6,57,3.700000048,0.100000001
89,What Is This Feeling?,Kristin Chenoweth,broadway,2013,152,42,62,-9,14,55,212,74,9,55,4.5,0.699999988
90,My Favorite Things,Julie Andrews,broadway,1965,115,25,62,-12,16,63,138,87,8,55,3.700000048,0.400000006
91,You and Me (But Mostly Me),Josh Gad,broadway,2011,75,51,48,-8,4,51,163,60,5,55,0,0
92,You Can't Stop The Beat,Elijah Kelley,hollywood,2007,170,94,53,-5,9,70,325,4,18,54,0,0
93,Popular,Kristin Chenoweth,broadway,2013,89,23,72,-13,15,54,224,78,17,54,12.30000019,0.200000003
94,Memory,Andrew Lloyd Webber,broadway,1981,103,1,29,-28,9,17,84,95,4,53,4.300000191,0
95,Chim Chim Cher,Dick Van Dyke,hollywood,2009,106,35,46,-11,11,44,166,85,6,53,0,0
96,Jingle Bell Rock (Glee Cast Version),Glee Cast,hollywood,2012,152,74,62,-6,15,87,153,18,3,53,0,0
98,Naughty,Matilda the Musical Original Cast,broadway,2011,140,32,82,-9,5,77,243,61,7,52,0,0
99,When I Grow Up,Matilda the Musical Original Cast,broadway,2011,71,28,43,-10,7,40,217,77,6,52,0,0
100,Without Love,Elijah Kelley,hollywood,2007,98,88,54,-5,20,44,220,37,15,52,0.899999976,-0.100000001
102,Friend Like Me,James Monroe Iglehart,broadway,2014,92,56,69,-5,3,62,452,36,13,51,2.900000095,0.100000001
103,I Can Hear The Bells,Nikki Blonsky,hollywood,2007,112,57,62,-6,10,34,254,76,3,51,2.599999905,0.100000001
104,Dancing Through Life,Norbert Leo Butz,broadway,2013,117,45,46,-9,19,34,457,62,5,51,0,0
105,I See Stars,Erika Henningsen,broadway,2018,146,76,36,-4,12,24,229,13,7,51,0,0
106,The History of Wrong Guys,Annaleigh Ashford,broadway,2013,130,57,81,-6,8,53,228,30,14,50,0,0
107,I'll Cover You,Wilson Jermaine Heredia,broadway,2005,112,88,62,-3,8,78,150,24,4,50,7.5,0.200000003
108,Good Morning Baltimore,Nikki Blonsky,hollywood,2007,133,84,63,-4,15,73,234,21,6,50,6.599999905,0.400000006
109,"Baby, It's Cold Outside (Glee Cast Version)",Glee Cast,hollywood,2010,111,27,52,-10,11,51,167,62,3,50,0,0
111,Land of Lola,Billy Porter,broadway,2013,118,81,73,-7,11,87,187,5,8,49,0,0
112,Prelude / The Sound of Music,Julie Andrews,broadway,1965,79,21,18,-16,37,14,164,86,4,49,0.100000001,-0.100000001
113,Anything Goes,Sutton Foster,broadway,2011,99,44,62,-9,28,73,348,68,17,48,0,0
114,Run And Tell That,Elijah Kelley,hollywood,2007,150,87,59,-5,48,76,231,8,23,48,8.399999619,0.200000003
115,Ladies’ Choice,Zac Efron,hollywood,2007,117,95,69,-5,23,75,148,4,7,48,1.799999952,-0.100000001
117,Proud of Your Boy,Adam Jacobs,broadway,2014,172,33,34,-9,22,33,141,90,5,47,2.900000095,0.100000001
118,The Nicest Kids In Town,James Marsden,hollywood,2007,170,89,55,-5,15,77,162,6,18,47,8.5,0.100000001
119,Moving Too Fast,Jeremy Jordan,broadway,2015,106,66,56,-8,29,62,245,8,3,47,11.80000019,0
120,Feed The Birds (Tuppence A Bag),Julie Andrews,broadway,1997,88,7,28,-23,8,15,231,80,4,47,0,0
121,A Spoonful of Sugar,Julie Andrews,broadway,1997,111,39,48,-14,14,64,249,74,15,47,6.199999809,0.5
123,One Jump Ahead,Adam Jacobs,broadway,2014,121,58,77,-6,6,87,129,37,32,46,0,0
124,Sex Is in the Heel,Billy Porter,broadway,2013,127,69,81,-7,18,86,275,2,7,46,0,0
125,Welcome To The 60's,Nikki Blonsky,hollywood,2007,79,81,56,-5,64,70,313,51,17,46,0,0
126,When I Was Your Man (Live),Aaron Tveit,broadway,2013,132,52,49,-8,32,32,238,54,14,46,0,0
127,Over The Rainbow,Andrew Lloyd Webber,broadway,2011,85,17,29,-15,11,16,184,85,4,46,2.700000048,-0.100000001
128,A Million Miles Away,Adam Jacobs,broadway,2014,76,44,44,-9,22,26,201,71,5,45,0,0
129,Arabian Nights,James Monroe Iglehart,broadway,2014,121,36,50,-9,56,50,377,42,6,45,0,0
130,If You Were Gay,John Tartaglia,broadway,2003,96,34,77,-11,30,60,151,82,54,45,0,0
131,Everyone's a Little Bit Racist,John Tartaglia,broadway,2003,180,34,61,-9,27,59,328,79,44,45,0,0
132,Not My Father's Son,Billy Porter,broadway,2013,141,13,45,-14,8,23,357,80,3,45,0,0
133,The New Girl In Town,Brittany Snow,hollywood,2007,130,76,76,-6,32,95,136,23,11,45,5.300000191,0.200000003
134,It Takes Two,Zac Efron,hollywood,2007,103,65,60,-6,28,63,184,41,3,45,3.099999905,0
135,Prince Ali,Brian Gonzales,broadway,2014,182,60,43,-6,9,59,355,30,15,44,0,0
136,Stronger,Matthew Morrison,broadway,2015,112,70,45,-7,36,29,203,15,8,44,7.900000095,0.300000012
137,Run Away With Me (Live),Aaron Tveit,broadway,2013,87,47,39,-11,70,33,209,69,19,44,0,0
138,Let's Go Fly a Kite,David Tomlinson,disney,1997,146,14,44,-18,13,55,114,83,4,44,0,0
139,"Babkak, Omar, Aladdin, Kassim",Adam Jacobs,broadway,2014,200,51,49,-6,67,49,229,30,20,43,0,0
140,Singin' In The Rain,Gene Kelly,adult standards,2008,136,31,41,-9,13,36,175,99,3,43,0.699999988,0.699999988
141,Miracle,Matilda the Musical Original Cast,broadway,2011,77,32,68,-11,9,50,617,65,31,43,0,0
142,Hold Me in Your Heart,Billy Porter,broadway,2013,162,31,29,-9,15,34,184,64,4,43,0,0
143,Everybody Say Yeah,Billy Porter,broadway,2013,134,80,63,-6,25,49,260,13,12,43,0,0
144,(The Legend Of) Miss Baltimore Crabs,Michelle Pfeiffer,hollywood,2007,134,57,62,-7,31,78,248,75,16,43,19.39999962,0
145,Leavin' On a Jet Plane,Liz Callaway,hollywood,2015,97,35,36,-12,8,17,292,73,4,43,0,0
146,You Can't Stop the Beat,Laura Bell Bundy,broadway,2002,170,96,65,-5,22,27,349,45,30,43,0,0
147,Magic To Do,Patina Miller,broadway,2013,125,62,35,-7,8,25,275,11,4,43,0,0
148,I'll Be Home For Christmas,Leslie Odom Jr.,broadway,2017,177,16,26,-13,9,23,223,93,4,43,2.5,0.600000024
150,I Know Where I’ve Been,Queen Latifah,conscious hip hop,2007,174,49,28,-7,15,25,253,66,3,42,4.199999809,0.400000006
151,"Big, Blonde and Beautiful",Queen Latifah,conscious hip hop,2007,102,83,65,-5,38,74,155,11,4,42,4.900000095,0
152,She’s Always a Woman / A Case of You (Live),Aaron Tveit,broadway,2013,173,42,36,-12,17,25,562,50,9,42,0,0
153,Step In Time,Dick Van Dyke,hollywood,1997,78,64,37,-12,39,40,523,72,5,42,0,0
154,What a Woman Wants,Billy Porter,broadway,2013,120,57,66,-7,9,73,235,20,17,41,0,0
155,La Vie Boheme,Anthony Rapp,broadway,1996,139,50,59,-9,16,46,480,47,8,41,0,0
156,"Mama, I'm A Big Girl Now",Nikki Blonsky,hollywood,2007,141,70,66,-5,64,54,199,67,17,41,4.800000191,0
157,Come So Far (Got So Far To Go),Elijah Kelley,hollywood,2007,165,92,56,-5,67,69,257,15,12,41,0,0
158,(It's) Hairspray,James Marsden,hollywood,2007,68,79,50,-5,43,57,140,76,11,41,11.89999962,0
159,Music Of The Night,Michael Ball,hollywood,2016,72,30,17,-13,19,14,298,89,5,41,3.200000048,0.200000003
160,We Are Never Ever Getting Back Together (Live),Aaron Tveit,broadway,2013,141,63,39,-8,67,40,291,20,13,41,0,0
162,Beautiful,Jessie Mueller,broadway,2014,81,48,56,-6,17,43,162,67,3,40,0,0
163,Will You Love Me Tomorrow,Jessie Mueller,broadway,2014,206,35,30,-8,12,23,187,79,3,40,0,0
164,Wishing You Were Somehow Here Again,Andrew Lloyd Webber,broadway,1987,127,13,30,-15,8,4,210,92,5,40,4.300000191,0
165,Act One Finale,James Monroe Iglehart,broadway,2014,169,54,44,-6,25,47,129,57,16,39,2.900000095,0.100000001
166,Diamond in the Rough,Adam Jacobs,broadway,2014,133,43,53,-8,22,43,259,45,21,39,0,0
167,One Jump Ahead (Reprise),Adam Jacobs,broadway,2014,84,14,29,-14,39,37,36,95,4,39,0,0
168,Overture,Alan Menken,broadway,2014,94,41,64,-7,7,67,77,8,10,39,0.100000001,0.100000001
170,In This Corner,Billy Porter,broadway,2013,97,73,69,-7,43,73,297,28,5,39,0,0
171,Take Me Or Leave Me,Idina Menzel,broadway,1996,116,58,75,-8,4,81,223,47,10,39,4.300000191,0.100000001
172,Somewhere,Michael Ball,hollywood,2016,82,27,25,-13,12,11,195,91,4,39,2.799999952,0.300000012
173,(You Make Me Feel Like) A Natural Woman,Jessie Mueller,broadway,2014,102,48,39,-5,18,51,131,65,3,39,0,0
174,Wouldn't It Be Nice?,Liz Callaway,hollywood,2001,126,59,64,-7,8,70,170,63,6,39,0,0
175,I Could Have Danced All Night,Julie Andrews,broadway,1956,143,31,34,-12,12,40,209,82,4,39,3.400000095,-0.100000001
177,Somebody's Got Your Back,James Monroe Iglehart,broadway,2014,148,43,60,-7,18,57,204,34,20,38,0,0
178,(You're) Timeless To Me,Christopher Walken,hollywood,2007,117,42,57,-8,12,51,287,80,9,38,12,0.200000003
179,With a Song in My Heart,Billy Porter,broadway,2017,116,75,57,-6,41,33,211,14,5,38,0,0
180,Seven Wonders,Aaron Tveit,broadway,2011,74,40,52,-9,13,37,200,83,4,38,0,0
181,Willkommen,Alan Cumming,broadway,1998,92,48,52,-10,96,56,451,68,37,37,32.59999847,0.200000003
182,"Big, Blond and Beautiful (Reprise)",Michelle Pfeiffer,hollywood,2007,104,61,61,-6,58,77,66,72,12,37,0,0
183,Les Miserables Suite: Bring Him Home / Empty Chairs At Empty Tables / I Dreamed A Dream,Michael Ball,hollywood,2016,82,22,20,-13,10,7,373,93,4,37,7.699999809,0
184,Random Black Girl,Patina Miller,broadway,2011,111,67,67,-5,11,56,235,33,10,37,0,0
185,One Fine Day,Rashidra Scott,broadway,2014,176,64,30,-4,8,63,170,61,4,37,0,0
186,Some Kind Of Wonderful,Jessie Mueller,broadway,2014,120,44,50,-6,16,34,182,77,4,37,0,0
187,So Far Away,Jessie Mueller,broadway,2014,137,31,55,-7,9,55,103,79,3,37,0,0
188,Genie Medley,Alan Menken,broadway,2014,80,31,52,-12,40,62,244,81,31,36,0,0
189,Proud of Your Boy (Reprise),Adam Jacobs,broadway,2014,130,18,43,-12,11,31,65,97,4,36,0,0
190,Bring Him Home,Colm Wilkinson,hollywood,2010,146,18,29,-14,9,15,200,99,4,36,2,0
191,"Oh, What a Beautiful Morning",Billy Porter,broadway,2017,92,52,43,-7,32,39,190,16,6,36,0.800000012,0.400000006
192,I Feel The Earth Move,Jessie Mueller,broadway,2014,120,75,76,-4,23,81,123,64,4,36,0,0
193,It Might As Well Rain Until September,Jessie Mueller,broadway,2014,164,56,55,-5,26,80,107,52,7,36,0,0
194,Mister Snow,Lindsay Mendez,broadway,2018,85,25,52,-11,8,43,302,96,10,36,0,0
195,The Most Wonderful Day of the Year (Glee Cast Version),Glee Cast,hollywood,2010,202,37,34,-8,14,72,121,60,3,36,0,0
197,"Cabaret (from ""Cabaret"")",Natasha Richardson,broadway,1947,113,20,62,-11,10,43,252,83,7,35,0,0
198,You've Got A Friend,Jessie Mueller,broadway,2014,103,19,56,-9,11,48,158,94,4,35,0,0
199,It's Too Late,Jessie Mueller,broadway,2014,103,51,75,-7,6,73,167,70,3,35,0,0
202,Take Good Care Of My Baby,Jake Epstein,broadway,2014,96,63,78,-6,21,72,98,73,4,34,0,0
203,I'll Never Fall In Love Again,Kristin Chenoweth,broadway,2010,117,9,61,-16,13,26,197,84,4,34,0,0
204,Skimbleshanks The Railway Cat,Andrew Lloyd Webber,broadway,1981,147,56,58,-11,29,76,286,51,15,33,0,0
205,Macavity The Mystery Cat,Andrew Lloyd Webber,broadway,1981,84,21,48,-14,17,7,418,67,22,33,0,0
206,The Oldest Established,Nathan Lane,broadway,1992,141,28,58,-18,25,72,155,89,14,33,0,0
207,My Funny Valentine,Billy Porter,broadway,2017,70,60,50,-8,36,17,272,42,3,33,0,0
208,Chains,Jessie Mueller,broadway,2014,130,40,69,-5,7,89,105,66,3,33,0,0
209,Buenos Aires (Glee Cast Version),Glee Cast,hollywood,2011,123,94,70,-5,11,69,198,3,6,33,0,0
210,One Day More,Les Misérables Cast,hollywood,2012,170,28,24,-12,7,28,220,85,4,33,12.69999981,-0.200000003
211,Light My Candle,Daphne Rubin-Vega,broadway,1999,132,42,85,-10,8,71,245,55,5,32,0,0
212,Rent,Anthony Rapp,broadway,1999,177,74,44,-7,71,48,265,3,15,32,14.19999981,-0.100000001
213,Sue Me,Faith Prince,broadway,1992,116,13,61,-19,14,42,170,91,33,32,4.5,-0.100000001
214,I Have Dreamed,Billy Porter,broadway,2017,136,52,60,-8,12,23,316,65,4,32,2.299999952,0.300000012
215,Stick It To The Man,Andrew Lloyd Webber,broadway,2018,115,83,64,-4,7,61,192,0,5,32,8.399999619,-0.200000003
216,Out Tonight,Daphne Rubin-Vega,broadway,1999,137,78,72,-6,9,78,229,2,5,31,0,0
217,One Song Glory,Adam Pascal,broadway,1999,142,29,74,-11,48,66,162,55,11,31,5.800000191,0.5
218,If I Loved You,Billy Porter,broadway,2017,89,61,47,-7,17,32,286,54,4,31,0,0
219,My Romance,Billy Porter,broadway,2017,93,58,69,-6,10,52,231,39,3,31,0,0
220,One Song Glory (Live),Aaron Tveit,broadway,2013,138,51,57,-9,67,48,184,59,31,31,0,0
221,A House Is Not a Home,Kristin Chenoweth,broadway,2010,73,18,33,-12,18,18,192,82,4,31,3.099999905,0
223,Another Day,Daphne Rubin-Vega,broadway,1999,142,63,60,-9,16,54,284,37,4,30,4.599999905,0.400000006
224,A Thousand Years,Michael Ball,hollywood,2016,141,30,31,-14,33,20,253,85,4,30,5.900000095,0.400000006
225,I Could Be in Love With Someone Like You (Live),Aaron Tveit,broadway,2013,89,65,42,-9,76,39,235,15,19,30,0,0
226,Queenie Was a Blonde,The Wild Party Ensemble,show tunes,1999,127,60,51,-7,27,32,359,82,23,30,20.79999924,0.200000003
227,For Once In My Life,Michael Ball,hollywood,2016,83,31,30,-10,21,8,207,84,3,29,5.400000095,0.300000012
228,Tell Me It's Not True,Michael Ball,hollywood,2016,80,33,14,-11,7,14,270,79,4,29,2.799999952,-0.300000012
229,Lady is a Tramp,Billy Porter,broadway,2017,94,80,67,-6,41,48,229,24,9,29,0,0
230,If I Loved You / To Make You Feel My Love (Live),Aaron Tveit,broadway,2013,81,32,30,-12,73,16,290,79,5,29,0,0
231,Something’s Coming (Live),Aaron Tveit,broadway,2013,179,54,36,-9,76,54,163,48,22,29,0,0
232,I'm Gonna Wash That Man Right Outta My Hair,Billy Porter,broadway,2017,90,77,61,-7,50,71,253,38,7,28,0,0
233,I’m Alive (Live),Aaron Tveit,broadway,2013,157,78,31,-7,92,62,224,20,17,28,5.900000095,0.100000001
234,Love Changes Everything,Andrew Lloyd Webber,broadway,2018,89,59,43,-6,12,28,207,84,4,28,2.400000095,0.800000012
235,Man Of La Mancha,Colm Wilkinson,hollywood,2016,137,56,39,-6,13,54,224,82,5,28,0,0
236,If I'd Been a Man,Christine Ebersole,broadway,2017,84,24,19,-10,14,7,317,94,3,28,0,0
237,I'll Cover You (Reprise),Jesse L. Martin,broadway,1999,120,34,40,-11,9,16,171,80,5,27,0,0
238,Will I?,Gilles Chiasson,broadway,1999,147,35,21,-11,10,30,150,70,3,27,0,0
239,Tango: Maureen,"Original Broadway Cast ""Rent""",hollywood,1999,132,45,71,-10,16,67,190,28,24,27,0,0
240,Wonderful World / Over The Rainbow,Michael Ball,hollywood,2016,82,19,18,-18,14,16,241,81,4,27,7.800000191,0.200000003
241,This Nearly was Mine,Billy Porter,broadway,2017,140,39,43,-9,8,16,254,55,3,27,0,0
242,If Only You Would Listen,Andrew Lloyd Webber,broadway,2018,130,43,52,-7,15,51,192,50,3,27,0.5,0.200000003
243,Never,Kristin Chenoweth,broadway,2015,87,39,42,-9,54,47,173,81,11,27,3.099999905,-0.300000012
244,What You Own,Anthony Rapp,broadway,1999,133,80,56,-7,34,79,236,26,4,26,1.600000024,0
245,Without You,Daphne Rubin-Vega,broadway,1999,119,38,57,-11,12,22,261,81,3,26,3.799999952,0.400000006
247,Life Support,Wilson Jermaine Heredia,broadway,1999,143,18,51,-17,42,45,119,77,8,26,0,0
248,This Can't Be Love,Judy Kuhn,hollywood,2015,130,20,68,-15,8,54,100,53,14,26,0,0
249,You'll Never Walk Alone,Michael Ball,hollywood,2016,89,55,17,-9,9,20,256,55,4,26,3.099999905,0.600000024
250,"Let It Sing (From ""Violet"")",Billy Porter,broadway,2005,114,58,45,-8,95,39,236,64,11,26,0,0
251,Think Of Me,Andrew Lloyd Webber,broadway,2018,98,22,30,-13,10,33,219,95,4,26,10.60000038,0
252,The Phantom Of The Opera,Andrew Lloyd Webber,broadway,2018,120,65,58,-8,39,53,258,10,3,26,7.900000095,0.300000012
253,La Vie Boheme B,Anthony Rapp,broadway,1999,146,82,63,-5,38,68,113,33,6,25,0,0
254,I Should Tell You,Adam Pascal,broadway,1999,94,19,36,-13,29,9,181,82,3,25,0,0
255,Santa Fe,Wilson Jermaine Heredia,broadway,1999,155,35,62,-14,11,69,193,63,16,25,0,0
256,Growltiger's Last Stand / The Ballad Of Billy McCaw,Andrew Lloyd Webber,broadway,1981,79,24,46,-13,12,35,580,87,8,25,0,0
257,Funny Girl / Don't Rain On My Parade,Idina Menzel,broadway,2012,107,49,37,-8,92,34,398,83,9,25,3.200000048,0.400000006
258,Stairway To Paradise,Michael Ball,hollywood,2016,79,39,34,-9,31,26,204,61,5,25,7.199999809,0.5
259,Anthem,Michael Ball,hollywood,2016,81,29,24,-11,9,13,206,93,4,25,1.799999952,0
260,My Romance / I Remember You (Live),Aaron Tveit,broadway,2013,85,27,39,-13,82,25,309,86,3,25,0,0
